thickness,ltt_name,machine_type,adb,ltt_feedrate,ltt_gas_pressure,ltt_focal_position,laser_power
100,ST100MD5-N2S0-30-2,L95,3,5,24,-3.2,12000
150,ST150MD0-N2H0-30-2,L76,0.4,2,3,-9.6,10000
100,ST100MD0-N2H0-30-2,L81,0.7,4,9,-3.5,10000
100,ST100MD0-N2H0-30-2,L81,0.7,4,9,-3.5,10000
30,SS030MD4-N2S0-30-2,L26,0.7,18,14,-0.8,6000
80,ST080MD5-N2S0-30-2,L76,4,6.8,24,-2,10000
60,ST060MD0-N2H0-30-2,L76,0.6,11,9,0.2,10000
100,ST100MD0-N2H0-30-2,L81,0.7,4,9,-3.5,10000
100,ST100MD0-N2H0-30-2,L95,0.7,4,9,-3.5,10000
150,ST150MD0-N2H0-30-2,L76,0.4,2,3,-9.6,10000
60,ST060MD0-N2H0-30-2,L76,0.6,11,9,0.2,10000
100,ST100MD0-N2H0-30-2,L95,0.7,4,9,-3.5,10000
60,ST060MD5-N2S0-30-2,L76,4,6.5,24,-1,6000
80,ST080MD0-N2H0-30-2,L76,0.4,3.5,6,-1.6,6000
80,ST080MD0-N2H0-30-2,L95,0.4,6,9,-3.2,10000
80,ST080MD0-N2H0-30-2,L76,0.4,3.5,6,-1.6,6000
100,ST100MD0-N2H0-30-2,L76,0.4,4.7,9,-2.8,10000
50,SS050MD4-N2S0-30-2,L26,0.5,6.1,11,-1.8,6000
60,ST060MD5-N2S0-30-2,L76,4,11.1,24,-1.2,10000
80,ST080MD0-N2H0-30-2,L26,0.4,8.2,9,-2.8,12000
80,ST080MD0-N2H0-30-2,L95,0.4,6,9,-3.2,10000
80,ST080MD0-N2H0-30-2,L26,0.4,8.2,9,-2.8,12000
50,ST050MD5-N2S0-30-2,L76,4,15.3,24,-1.5,10000
80,ST080MD0-N2H0-30-2,L26,0.4,8.2,9,-2.8,12000
60,ST060MD0-N2H0-30-2,L76,0.7,6.4,8,-1.8,6000
120,ST120MD0-N2H0-30-2,L76,0.4,3.2,3,-6.1,10000
80,ST080MD5-N2S0-30-2,L95,4,3.65,24,-2.5,6000
80,ST080MD5-N2S0-30-2,L76,4,6.8,24,-2,10000
100,ST100MD0-N2H0-30-2,L76,0.4,4.7,9,-2.8,10000
60,ST060MD0-N2H0-30-2,L76,0.7,6.4,8,-1.8,6000
60,ST060MD0-N2H0-30-2,L76,0.6,11,9,0.2,10000
100,ST100MD0-N2H0-30-2,L95,0.7,4,9,-3.5,10000
80,ST080MD5-N2S0-30-2,L95,4,6.8,24,-3.5,10000
80,ST100MD0-N2H0-30-2,L26,0.4,5.5,6,-4.8,12000
150,ST150MD0-N2H0-30-2,L76,0.4,2,3,-9.6,10000
50,ST050MD4-N2S0-30-2,L26,0.5,7,16,-1.9,6000
100,ST100MD5-N2S0-30-2,L95,3,5,24,-3.2,12000
60,ST060MD0-N2H0-30-2,L76,0.6,11,9,0.2,10000
80,ST080MD5-N2S0-30-2,L76,4,6.8,24,-2,10000
100,ST100MD0-N2H0-30-2,L95,0.7,4,9,-3.5,10000
50,ST050MD4-N2S0-30-2,L26,0.5,7,16,-1.9,6000
50,ST050MD4-N2S0-30-2,L26,0.5,7,16,-1.9,6000
60,ST060MD5-N2S0-30-2,L76,4,11.1,24,-1.2,10000
150,ST150MD0-N2H0-30-2,L76,0.4,2,3,-9.6,10000
80,ST080MD0-N2H0-30-2,L76,0.4,3.5,6,-1.6,6000
60,ST060MD0-N2H0-30-2,L76,0.7,6.4,8,-1.8,6000
80,ST080MD0-N2H0-30-2,L95,0.4,3.5,6,-1.6,6000
50,ST050MD4-N2S0-30-2,L26,0.5,7,16,-1.9,6000
50,ST050MD4-N2S0-30-2,L26,0.5,7,16,-1.9,6000
80,ST080MD0-N2H0-30-2,L26,0.4,8.2,9,-2.8,12000
30,ST030MD4-N2S0-30-2,L26,0.6,17,12,-0.4,6000
30,ST030MD4-N2S0-30-2,L26,0.5,17,12,-0.4,6000
30,ST030MD4-N2S0-30-2,L26,1.0,17,12,-0.4,6000
30,ST030MD4-N2S0-30-2,L26,1.5,17,12,-0.4,6000
150,ST150MD0-N2H0-30-2,L76,0.4,2,3,-9.6,10000
80,ST080MD0-N2H0-30-2,L76,0.4,6.8,9,-0.8,10000
150,ST150MD0-N2H0-30-2,L76,0.4,2,3,-9.6,10000
150,ST150MD0-N2H0-30-2,L76,0.4,2,3,-9.6,10000
